term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,outcome,exposure,model,analysis
cumdaysmany,4299109.072687237,5749.176045805703,0.4868169174116756,31.37507720152176,4.4274636936460706e-216,1655766.7318675322,11162404.983228259,bisphosphonate,cumdays,adjusted_comorb_lifestyle,sens_all_follow_up
agegroup40-49,NA,0,0,NA,NA,NA,NA,bisphosphonate,cumdays,adjusted_comorb_lifestyle,sens_all_follow_up
agegroup50-65,NA,0,0,NA,NA,NA,NA,bisphosphonate,cumdays,adjusted_comorb_lifestyle,sens_all_follow_up
agegroup66-79,1.4895928818924622,0.42094905749984385,0.4244326658698418,0.9389071130430975,0.3477784368792076,0.6483206401435094,3.4225147502530966,bisphosphonate,cumdays,adjusted_comorb_lifestyle,sens_all_follow_up
agegroup80+,NA,0,0,NA,NA,NA,NA,bisphosphonate,cumdays,adjusted_comorb_lifestyle,sens_all_follow_up
sex1,0.7225903538386775,0.36191845740257905,0.36456147802154454,-0.8912428470546947,0.3727989025045212,0.353652609532444,1.4764116123758015,bisphosphonate,cumdays,adjusted_comorb_lifestyle,sens_all_follow_up
carstairs2,0.7284640144345517,0.5321301434305463,0.5570829885038548,-0.5687071009172385,0.5695549280739685,0.24446585180762104,2.170690983637658,bisphosphonate,cumdays,adjusted_comorb_lifestyle,sens_all_follow_up
carstairs3,0.7807707208437313,0.5090477069325708,0.5677878878455833,-0.43585597509797747,0.6629412286495383,0.25657928609787495,2.375885161260837,bisphosphonate,cumdays,adjusted_comorb_lifestyle,sens_all_follow_up
carstairs4,0.964677263456066,0.47350131153554903,0.4707639294639498,-0.07639004041100253,0.939108793054435,0.3834131990807933,2.4271522859936456,bisphosphonate,cumdays,adjusted_comorb_lifestyle,sens_all_follow_up
carstairs5,0.10705248583332137,1.0569601432243003,1.030493094689902,-2.1683173371019766,0.030134550229652585,0.01420494131623447,0.8067780406805247,bisphosphonate,cumdays,adjusted_comorb_lifestyle,sens_all_follow_up
asthma1,5.381540947216658e-7,4314.756061223025,0.6347616186937838,-22.74101091065391,1.7612544045096777e-114,1.5509456523241063e-7,1.867311270589738e-6,bisphosphonate,cumdays,adjusted_comorb_lifestyle,sens_all_follow_up
copd1,NA,0,0,NA,NA,NA,NA,bisphosphonate,cumdays,adjusted_comorb_lifestyle,sens_all_follow_up
rheumatoid_arthritis1,1.864783022960956e-6,11301.098364646785,1.3990053847640211,-9.429817781178757,4.108020035853297e-21,1.2016908773236993e-7,2.8937689287181715e-5,bisphosphonate,cumdays,adjusted_comorb_lifestyle,sens_all_follow_up
smokstatus1,0.8954957412653857,0.3574239194399197,0.35178910154981596,-0.3137613209513464,0.7537023233101173,0.44938657969673623,1.7844605487898746,bisphosphonate,cumdays,adjusted_comorb_lifestyle,sens_all_follow_up
bmi_catnormal,0.3073062371597541,0.6758570289977931,0.7483471143282396,-1.5766887996399948,0.11486714880883289,0.07088872354439868,1.3321882335508501,bisphosphonate,cumdays,adjusted_comorb_lifestyle,sens_all_follow_up
bmi_catoverweight,0.8193300166287554,0.574900264723089,0.5619761229055856,-0.35458503922722384,0.7229004857764918,0.27233529036544407,2.4649823210501416,bisphosphonate,cumdays,adjusted_comorb_lifestyle,sens_all_follow_up
bmi_catobese,0.5135871463366634,0.60524955616142,0.6008562747458657,-1.1089766080989254,0.26744027325704395,0.15818465720118244,1.6674926731153643,bisphosphonate,cumdays,adjusted_comorb_lifestyle,sens_all_follow_up
alc1,1.24922963899441e-7,9220.507065822816,1.1067523129262233,-14.3623540631283,8.91468546296959e-47,1.4274897646189434e-8,1.0932300389268877e-6,bisphosphonate,cumdays,adjusted_comorb_lifestyle,sens_all_follow_up
pattern_rt_gapcontinuous,0.8585609181124848,0.3967590058717234,0.39284286379055056,-0.388189926401558,0.6978754873789121,0.39754167524678974,1.8542127681394718,bisphosphonate,pattern_rt_gap,adjusted_comorb_lifestyle,sens_all_follow_up
agegroup40-49,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_rt_gap,adjusted_comorb_lifestyle,sens_all_follow_up
agegroup50-65,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_rt_gap,adjusted_comorb_lifestyle,sens_all_follow_up
agegroup66-79,1.4849373922883384,0.4209982633130337,0.42429078503306,0.9318435027051135,0.35141740880634753,0.6464741627713613,3.4108695845837658,bisphosphonate,pattern_rt_gap,adjusted_comorb_lifestyle,sens_all_follow_up
agegroup80+,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_rt_gap,adjusted_comorb_lifestyle,sens_all_follow_up
sex1,0.7194873116791565,0.362477482918716,0.36368461426532467,-0.9052249526408049,0.3653462251522477,0.3527396133703716,1.467547085854976,bisphosphonate,pattern_rt_gap,adjusted_comorb_lifestyle,sens_all_follow_up
carstairs2,0.7253366356813513,0.5325290525501419,0.5584712576114005,-0.574997195359177,0.5652931938023297,0.24275490691951507,2.1672609700778294,bisphosphonate,pattern_rt_gap,adjusted_comorb_lifestyle,sens_all_follow_up
carstairs3,0.7705678683851596,0.5100911451326873,0.5680287950341687,-0.4588280502973261,0.6463576498334261,0.2531068556718585,2.345945305240766,bisphosphonate,pattern_rt_gap,adjusted_comorb_lifestyle,sens_all_follow_up
carstairs4,0.9692605506328756,0.4735058991386802,0.4692200629136419,-0.06653981702923756,0.9469480585288227,0.38640229343636184,2.431315835778986,bisphosphonate,pattern_rt_gap,adjusted_comorb_lifestyle,sens_all_follow_up
carstairs5,0.10672900679370079,1.057146430173841,1.0339504501547698,-2.1639937422033984,0.03046482967488693,0.014066376876943619,0.8098091634272289,bisphosphonate,pattern_rt_gap,adjusted_comorb_lifestyle,sens_all_follow_up
asthma1,5.352664426489049e-7,4322.66696903587,0.6376325919326424,-22.647056272032057,1.4914891618770842e-113,1.5339675440881573e-7,1.8677720120625162e-6,bisphosphonate,pattern_rt_gap,adjusted_comorb_lifestyle,sens_all_follow_up
copd1,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_rt_gap,adjusted_comorb_lifestyle,sens_all_follow_up
rheumatoid_arthritis1,1.954166545297422e-6,11304.587556964501,1.4089059737930363,-9.33032226386099,1.0554948953301145e-20,1.2350900837811818e-7,3.091893406729209e-5,bisphosphonate,pattern_rt_gap,adjusted_comorb_lifestyle,sens_all_follow_up
smokstatus1,0.9035482899789492,0.3583495525068156,0.35635547916804555,-0.2846195123331459,0.7759356606111002,0.4493875480489976,1.8166936664539484,bisphosphonate,pattern_rt_gap,adjusted_comorb_lifestyle,sens_all_follow_up
bmi_catnormal,0.3063014625625347,0.6760761782745,0.7538160786507442,-1.5695943927566178,0.1165095038458453,0.06990361912422804,1.3421420399023427,bisphosphonate,pattern_rt_gap,adjusted_comorb_lifestyle,sens_all_follow_up
bmi_catoverweight,0.8196798500506407,0.5748156586171679,0.5631053840118398,-0.35311585961242203,0.7240015835501787,0.27184921748054264,2.471498953743097,bisphosphonate,pattern_rt_gap,adjusted_comorb_lifestyle,sens_all_follow_up
bmi_catobese,0.5176046102150236,0.6049635679941494,0.599565343942873,-1.0983684023453757,0.27204365410227305,0.15982591146775346,1.676289720831037,bisphosphonate,pattern_rt_gap,adjusted_comorb_lifestyle,sens_all_follow_up
alc1,1.2868983866766379e-7,9225.866622283269,1.1072221683515953,-14.329428304992517,1.4329533217927022e-46,1.4691801028222795e-8,1.1272324301490097e-6,bisphosphonate,pattern_rt_gap,adjusted_comorb_lifestyle,sens_all_follow_up
pattern_laggedcontinuous,1.4531890273135488,1.0197083952571893,0.987413471339182,0.3785247836685386,0.7050407862771558,0.20981389173236184,10.064911963971635,bisphosphonate,pattern_lagged,adjusted_comorb_lifestyle,sens_all_follow_up
agegroup40-49,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_lagged,adjusted_comorb_lifestyle,sens_all_follow_up
agegroup50-65,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_lagged,adjusted_comorb_lifestyle,sens_all_follow_up
agegroup66-79,1.4814239313018374,0.42117238784444977,0.4256046107261552,0.9234010419043046,0.3557982489655562,0.6432859330300621,3.411572912680545,bisphosphonate,pattern_lagged,adjusted_comorb_lifestyle,sens_all_follow_up
agegroup80+,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_lagged,adjusted_comorb_lifestyle,sens_all_follow_up
sex1,0.7267218582271889,0.3619583987823908,0.36877516283912626,-0.8655991379814144,0.38671002849278574,0.3527493606867547,1.4971668784799272,bisphosphonate,pattern_lagged,adjusted_comorb_lifestyle,sens_all_follow_up
carstairs2,0.7295521731240227,0.5320044539627471,0.5567171693864668,-0.5663996224611285,0.5711221513486635,0.24500663280493054,2.172375364767157,bisphosphonate,pattern_lagged,adjusted_comorb_lifestyle,sens_all_follow_up
carstairs3,0.7791564693376192,0.5088849012869449,0.5658173202772695,-0.44103173429171866,0.6591900230880813,0.2570396402850953,2.3618333850658857,bisphosphonate,pattern_lagged,adjusted_comorb_lifestyle,sens_all_follow_up
carstairs4,0.9712231352802221,0.4734464648401735,0.47107168766339164,-0.06198427625909638,0.9505753536494495,0.3857820988816614,2.445096289428644,bisphosphonate,pattern_lagged,adjusted_comorb_lifestyle,sens_all_follow_up
carstairs5,0.10719553550715773,1.0571043325931235,1.0300893667460425,-2.1678708175148764,0.030168516771660152,0.014235182507693534,0.8072171063810355,bisphosphonate,pattern_lagged,adjusted_comorb_lifestyle,sens_all_follow_up
asthma1,5.429108887531133e-7,4318.339071215579,0.6296400800325254,-22.912011317394082,3.526799939970257e-116,1.580439750288321e-7,1.8650013901062883e-6,bisphosphonate,pattern_lagged,adjusted_comorb_lifestyle,sens_all_follow_up
copd1,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_lagged,adjusted_comorb_lifestyle,sens_all_follow_up
rheumatoid_arthritis1,1.8888349292153715e-6,11300.01602234678,1.398371843723138,-9.424925435746761,4.3041127033807256e-21,1.218702589594591e-7,2.9274553285480865e-5,bisphosphonate,pattern_lagged,adjusted_comorb_lifestyle,sens_all_follow_up
smokstatus1,0.8941696125067147,0.35756448527162077,0.3518992207364144,-0.31787452784869863,0.7505801150620117,0.4486242517126839,1.782202573485626,bisphosphonate,pattern_lagged,adjusted_comorb_lifestyle,sens_all_follow_up
bmi_catnormal,0.30954166061640803,0.6756467816283573,0.7487204150558007,-1.5662222722172499,0.11729659033086486,0.07135216174766412,1.3428610613931438,bisphosphonate,pattern_lagged,adjusted_comorb_lifestyle,sens_all_follow_up
bmi_catoverweight,0.8226980228866063,0.5747401255107671,0.560890406266652,-0.3479575792891573,0.7278720418832311,0.27403729641134705,2.469853723288687,bisphosphonate,pattern_lagged,adjusted_comorb_lifestyle,sens_all_follow_up
bmi_catobese,0.5152106877672954,0.6050541719346817,0.5996554384610338,-1.1059340364180201,0.2687550714583579,0.15905862690754807,1.668831536839157,bisphosphonate,pattern_lagged,adjusted_comorb_lifestyle,sens_all_follow_up
alc1,1.2608145416446135e-7,9227.277886418688,1.1116066670853728,-14.291329970962146,2.478308025886547e-46,1.4270851883881942e-8,1.1139161988065572e-6,bisphosphonate,pattern_lagged,adjusted_comorb_lifestyle,sens_all_follow_up
pattern_ittcontinuous,0.7298831395230789,0.4112284475458691,0.4388275590978215,-0.7175274979236985,0.4730486755945027,0.3088322432061097,1.7249798525879023,bisphosphonate,pattern_itt,adjusted_comorb_lifestyle,sens_all_follow_up
agegroup40-49,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_itt,adjusted_comorb_lifestyle,sens_all_follow_up
agegroup50-65,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_itt,adjusted_comorb_lifestyle,sens_all_follow_up
agegroup66-79,1.4687348452795792,0.4208798305957227,0.4267199516248734,0.9008282347376719,0.36767965288329124,0.6363832161887105,3.3897532035143225,bisphosphonate,pattern_itt,adjusted_comorb_lifestyle,sens_all_follow_up
agegroup80+,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_itt,adjusted_comorb_lifestyle,sens_all_follow_up
sex1,0.740937767638981,0.36296289782776864,0.369787180623016,-0.8108410924376407,0.41745693281977914,0.3589370703111872,1.529484750733271,bisphosphonate,pattern_itt,adjusted_comorb_lifestyle,sens_all_follow_up
carstairs2,0.7164882668031282,0.5321343426963766,0.5609833115385252,-0.5943018280607355,0.5523102561792853,0.2386158137905364,2.151388997701503,bisphosphonate,pattern_itt,adjusted_comorb_lifestyle,sens_all_follow_up
carstairs3,0.7707460941386126,0.5085041429230585,0.5696819243302849,-0.4570906478138825,0.6476058920532484,0.25234644997149136,2.354103026601085,bisphosphonate,pattern_itt,adjusted_comorb_lifestyle,sens_all_follow_up
carstairs4,0.9602831522166019,0.4739221588307904,0.47563106906418723,-0.08520698167096724,0.9320968401987584,0.3780431815138368,2.4392550309687353,bisphosphonate,pattern_itt,adjusted_comorb_lifestyle,sens_all_follow_up
carstairs5,0.10289254817156897,1.058086381828268,1.0329048052905192,-2.2016259826408455,0.027691739022093473,0.013588570082011454,0.779101583562022,bisphosphonate,pattern_itt,adjusted_comorb_lifestyle,sens_all_follow_up
asthma1,5.326461868332627e-7,4290.353833544146,0.6390435305811204,-22.604733099541246,3.893225643973518e-113,1.522242990336059e-7,1.8637757713397722e-6,bisphosphonate,pattern_itt,adjusted_comorb_lifestyle,sens_all_follow_up
copd1,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_itt,adjusted_comorb_lifestyle,sens_all_follow_up
rheumatoid_arthritis1,2.3847025335944617e-6,11327.184107708063,1.4180534087935621,-9.129723947616927,6.867418198554953e-20,1.4804200666270105e-7,3.841346319148906e-5,bisphosphonate,pattern_itt,adjusted_comorb_lifestyle,sens_all_follow_up
smokstatus1,0.9032284168792568,0.357325200867199,0.34899451898186107,-0.29163725692519726,0.7705639862129927,0.45575655064174464,1.7900380628856816,bisphosphonate,pattern_itt,adjusted_comorb_lifestyle,sens_all_follow_up
bmi_catnormal,0.31811709840667196,0.6761680896291871,0.761669682645182,-1.5037171047987676,0.13265422310234926,0.07149120269371842,1.4155376393964632,bisphosphonate,pattern_itt,adjusted_comorb_lifestyle,sens_all_follow_up
bmi_catoverweight,0.8363223964351486,0.5757349117694868,0.5684444344489203,-0.3144389983209437,0.7531876406619363,0.2744814171797417,2.548205842004273,bisphosphonate,pattern_itt,adjusted_comorb_lifestyle,sens_all_follow_up
bmi_catobese,0.5254130877148024,0.6053970387353771,0.6079086791847366,-1.058663108581553,0.28975323469398895,0.15960558367743513,1.7296319237798168,bisphosphonate,pattern_itt,adjusted_comorb_lifestyle,sens_all_follow_up
alc1,1.5596706726490687e-7,9256.524859184818,1.1834133169360836,-13.244418272932046,4.86033197519961e-40,1.5335913994785617e-8,1.586193433236973e-6,bisphosphonate,pattern_itt,adjusted_comorb_lifestyle,sens_all_follow_up
cumdose900 to 1500 mg,1.1667023818954623,15812.081126387116,0.6115828287033689,0.25210206234669,0.80096217591736385,0.3518680521835528,3.8684797880157493,bisphosphonate,cumdose,adjusted_comorb_lifestyle,sens_all_follow_up
cumdose>1500 mg,14083162.794695795,13737.919070810425,0.6218507443636381,26.47016291766003,2.1385118803470128e-154,4162745.7520579235,47645349.03527399,bisphosphonate,cumdose,adjusted_comorb_lifestyle,sens_all_follow_up
agegroup40-49,NA,0,0,NA,NA,NA,NA,bisphosphonate,cumdose,adjusted_comorb_lifestyle,sens_all_follow_up
agegroup50-65,NA,0,0,NA,NA,NA,NA,bisphosphonate,cumdose,adjusted_comorb_lifestyle,sens_all_follow_up
agegroup66-79,1.4953143358634675,0.4207437874988668,0.42405512179781857,0.9487833589615103,0.3427308072096276,0.6512925687683231,3.4331191084634924,bisphosphonate,cumdose,adjusted_comorb_lifestyle,sens_all_follow_up
agegroup80+,NA,0,0,NA,NA,NA,NA,bisphosphonate,cumdose,adjusted_comorb_lifestyle,sens_all_follow_up
sex1,0.7241025761245943,0.3619741737015377,0.3644234755528156,-0.8858436367531892,0.37570179179401575,0.35448859552976736,1.4791012951113258,bisphosphonate,cumdose,adjusted_comorb_lifestyle,sens_all_follow_up
carstairs2,0.7326813152012509,0.5322747098642436,0.5574215354088449,-0.5580057814022411,0.5768404363195647,0.2457180415313896,2.1847069360450595,bisphosphonate,cumdose,adjusted_comorb_lifestyle,sens_all_follow_up
carstairs3,0.7819248762667339,0.5091723267392307,0.5680500653301128,-0.43305445104313023,0.6649752123628645,0.25682656181166574,2.3806202435287807,bisphosphonate,cumdose,adjusted_comorb_lifestyle,sens_all_follow_up
carstairs4,0.9671851375662069,0.47353314733782936,0.47075592581254466,-0.07087610463000772,0.9434963612802952,0.3844159896548618,2.433423987303,bisphosphonate,cumdose,adjusted_comorb_lifestyle,sens_all_follow_up
carstairs5,0.10698959011110931,1.0569521963694644,1.0306665855211883,-2.168522555530501,0.03011895038370674,0.014191769066677568,0.806578259437742,bisphosphonate,cumdose,adjusted_comorb_lifestyle,sens_all_follow_up
asthma1,1.968011966823812e-7,7115.037062354497,0.6348935222954745,-24.320726593360067,1.1833947941350596e-130,5.6702915410470165e-8,6.830462020382408e-7,bisphosphonate,cumdose,adjusted_comorb_lifestyle,sens_all_follow_up
copd1,NA,0,0,NA,NA,NA,NA,bisphosphonate,cumdose,adjusted_comorb_lifestyle,sens_all_follow_up
rheumatoid_arthritis1,6.830959696360046e-7,18665.483401045465,1.3990972776524495,-10.146993137714423,3.417302401222306e-24,4.401168146595625e-8,1.0602187605440403e-5,bisphosphonate,cumdose,adjusted_comorb_lifestyle,sens_all_follow_up
smokstatus1,0.8981228077543041,0.35743001995550217,0.35173531880143255,-0.3054810174643661,0.75999982533605,0.45075243265544124,1.7895068764389006,bisphosphonate,cumdose,adjusted_comorb_lifestyle,sens_all_follow_up
bmi_catnormal,0.3056572310900705,0.6759705309991796,0.7488173623215506,-1.5828839238440138,0.11344792355217988,0.07044337905202998,1.326261519179019,bisphosphonate,cumdose,adjusted_comorb_lifestyle,sens_all_follow_up
bmi_catoverweight,0.816776029318746,0.574945707817035,0.5619986176591142,-0.3601260808586472,0.718752849763647,0.27147440690391056,2.457406905048799,bisphosphonate,cumdose,adjusted_comorb_lifestyle,sens_all_follow_up
bmi_catobese,0.5105673639394305,0.6054183359055791,0.6009377830566032,-1.1186394203362673,0.26329399898714784,0.15722944536634614,1.657953015815035,bisphosphonate,cumdose,adjusted_comorb_lifestyle,sens_all_follow_up
alc1,4.562807631957505e-8,15218.765661546026,1.10656415551737,-15.27497752105617,1.1226673609161968e-52,5.21582537015165e-9,3.991547264099514e-7,bisphosphonate,cumdose,adjusted_comorb_lifestyle,sens_all_follow_up
patterncontinuous,2.597786368545925,0.7917570624948234,0.6554623114686814,1.4564677006847448,0.14526337217437282,0.718907314816403,9.387154473906664,bisphosphonate,pattern,adjusted_comorb_cumdose,sens_all_follow_up
agegroup40-49,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern,adjusted_comorb_cumdose,sens_all_follow_up
agegroup50-65,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern,adjusted_comorb_cumdose,sens_all_follow_up
agegroup66-79,1.2831907813658954,0.454022512349068,0.45025116288248096,0.5538015102733658,0.5797146945976632,0.530929364971901,3.1013138281955093,bisphosphonate,pattern,adjusted_comorb_cumdose,sens_all_follow_up
agegroup80+,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern,adjusted_comorb_cumdose,sens_all_follow_up
sex1,0.7195186586921313,0.35788659454235716,0.36671228911249754,-0.8976323671303844,0.36938157726722326,0.3506678851905664,1.476345916093177,bisphosphonate,pattern,adjusted_comorb_cumdose,sens_all_follow_up
carstairs2,0.7058344783869901,0.5293385512927667,0.5331711962606819,-0.6534008612929993,0.513497883701757,0.24823711986761232,2.006961372841948,bisphosphonate,pattern,adjusted_comorb_cumdose,sens_all_follow_up
carstairs3,0.727144673161813,0.5065220068801031,0.554292305433905,-0.574840779675866,0.5653989842073559,0.2453614678936678,2.154940546478714,bisphosphonate,pattern,adjusted_comorb_cumdose,sens_all_follow_up
carstairs4,0.9722813583301533,0.47353256159600693,0.46040349469400854,-0.06105525572557286,0.9513152033898886,0.39436266596667774,2.397110886343904,bisphosphonate,pattern,adjusted_comorb_cumdose,sens_all_follow_up
carstairs5,0.10706416542050827,1.055138519676,1.0307554530258027,-2.1676595945900043,0.03018459586297173,0.0141991878137399,0.8072810689987494,bisphosphonate,pattern,adjusted_comorb_cumdose,sens_all_follow_up
asthma1,5.134199322864332e-7,4358.445735625698,0.6514485916636856,-22.230720782112293,1.7332912702008748e-109,1.4320516385703932e-7,1.8407159334851617e-6,bisphosphonate,pattern,adjusted_comorb_cumdose,sens_all_follow_up
copd1,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern,adjusted_comorb_cumdose,sens_all_follow_up
rheumatoid_arthritis1,2.0660792375803996e-6,10995.37387492959,1.3902424459293015,-9.415521640267388,4.7073908442198106e-21,1.354473329818137e-7,3.1515448270465065e-5,bisphosphonate,pattern,adjusted_comorb_cumdose,sens_all_follow_up
cumdose_cont,0.9999530138689092,5.103512897346877e-5,4.764363675070579e-5,-0.9862226769007676,0.32402385369440767,0.9998596428038956,1.0000463936533026,bisphosphonate,pattern,adjusted_comorb_cumdose,sens_all_follow_up
cumdaysmany,5142082.062459913,5729.5531293014765,0.5713381162720433,27.046976537745955,4.145407669746254e-161,1678089.4885026407,15756613.767162833,bisphosphonate,cumdays,adjusted_comorb_cumdose,sens_all_follow_up
agegroup40-49,NA,0,0,NA,NA,NA,NA,bisphosphonate,cumdays,adjusted_comorb_cumdose,sens_all_follow_up
agegroup50-65,NA,0,0,NA,NA,NA,NA,bisphosphonate,cumdays,adjusted_comorb_cumdose,sens_all_follow_up
agegroup66-79,1.2826955326637544,0.45350770317288924,0.45021714866964396,0.5529859297747236,0.5802730448464224,0.5307598350699076,3.0999102057126176,bisphosphonate,cumdays,adjusted_comorb_cumdose,sens_all_follow_up
agegroup80+,NA,0,0,NA,NA,NA,NA,bisphosphonate,cumdays,adjusted_comorb_cumdose,sens_all_follow_up
sex1,0.7127819122220479,0.35790181450307795,0.3656308529047575,-0.9260153406863312,0.3544380079573936,0.34812172281978854,1.4594264623179651,bisphosphonate,cumdays,adjusted_comorb_cumdose,sens_all_follow_up
carstairs2,0.7013416760655403,0.529283929785325,0.5319070225760453,-0.6669588542271314,0.5047984158100746,0.24726894076123304,1.9892516426532882,bisphosphonate,cumdays,adjusted_comorb_cumdose,sens_all_follow_up
carstairs3,0.7277045738743635,0.5063663400993816,0.5513896636326834,-0.5764709410222282,0.5642969059369747,0.24695133145020215,2.1443656275425016,bisphosphonate,cumdays,adjusted_comorb_cumdose,sens_all_follow_up
carstairs4,0.9642328667808401,0.4734483026954872,0.46055354113712355,-0.07908407435681641,0.9369657506576098,0.39098315409781464,2.377966957491466,bisphosphonate,cumdays,adjusted_comorb_cumdose,sens_all_follow_up
carstairs5,0.10718394128640026,1.0550131540384144,1.0344284633821454,-2.1588818580049236,0.03085933368540054,0.014113106479296535,0.8140232830057369,bisphosphonate,cumdays,adjusted_comorb_cumdose,sens_all_follow_up
asthma1,5.137895930293918e-7,4332.2480076621305,0.648104733152985,-22.344308360363776,1.3715564582226802e-110,1.4425057541249835e-7,1.8300082696407464e-6,bisphosphonate,cumdays,adjusted_comorb_cumdose,sens_all_follow_up
copd1,NA,0,0,NA,NA,NA,NA,bisphosphonate,cumdays,adjusted_comorb_cumdose,sens_all_follow_up
rheumatoid_arthritis1,2.1009631540967014e-6,10888.657544824695,1.3957763060955,-9.36619615656225,7.51936793120216e-21,1.3624842487860797e-7,3.23970437001727e-5,bisphosphonate,cumdays,adjusted_comorb_cumdose,sens_all_follow_up
cumdose_cont,0.9999514385512094,5.1123335493270295e-5,4.7543708683265604e-5,-1.0214312110033186,0.3070501844654364,0.9998582634609259,1.0000446223243211,bisphosphonate,cumdays,adjusted_comorb_cumdose,sens_all_follow_up
pattern_rt_gapcontinuous,0.8832248501924151,0.39465072167376397,0.37640854882452884,-0.32989544924680564,0.7414789621719385,0.422349264404104,1.847016679662137,bisphosphonate,pattern_rt_gap,adjusted_comorb_cumdose,sens_all_follow_up
agegroup40-49,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_rt_gap,adjusted_comorb_cumdose,sens_all_follow_up
agegroup50-65,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_rt_gap,adjusted_comorb_cumdose,sens_all_follow_up
agegroup66-79,1.2905097874078726,0.4536764184283119,0.4504675914400349,0.5661613159134347,0.5712841243594496,0.5337312034495787,3.1203263002644435,bisphosphonate,pattern_rt_gap,adjusted_comorb_cumdose,sens_all_follow_up
agegroup80+,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_rt_gap,adjusted_comorb_cumdose,sens_all_follow_up
sex1,0.7117838381974805,0.3581503621600453,0.3635733379020952,-0.9351098561417985,0.34973168768011004,0.349038984447623,1.4515176094754059,bisphosphonate,pattern_rt_gap,adjusted_comorb_cumdose,sens_all_follow_up
carstairs2,0.7017891129019526,0.529597278148079,0.5328588900867659,-0.6645705563851162,0.5063252067469307,0.24696551623832083,1.9942377644028695,bisphosphonate,pattern_rt_gap,adjusted_comorb_cumdose,sens_all_follow_up
carstairs3,0.7236042457738485,0.5073446524200321,0.55140808268116,-0.5866991581532595,0.5574057732722641,0.24555099343582049,2.132359951696934,bisphosphonate,pattern_rt_gap,adjusted_comorb_cumdose,sens_all_follow_up
carstairs4,0.9698262488520567,0.4735663087150559,0.45818968180937375,-0.06686826360490207,0.9466865784443178,0.39507738461212333,2.380705627799657,bisphosphonate,pattern_rt_gap,adjusted_comorb_cumdose,sens_all_follow_up
carstairs5,0.10688182232122082,1.0551300635504088,1.0368143172278315,-2.156636421800762,0.031034004342971516,0.014007670037020721,0.8155334836210008,bisphosphonate,pattern_rt_gap,adjusted_comorb_cumdose,sens_all_follow_up
asthma1,5.109458521551852e-7,4338.526942597982,0.6452033147326411,-22.453390870801265,1.1857289705191143e-111,1.4427026207798834e-7,1.8095597808886197e-6,bisphosphonate,pattern_rt_gap,adjusted_comorb_cumdose,sens_all_follow_up
copd1,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_rt_gap,adjusted_comorb_cumdose,sens_all_follow_up
rheumatoid_arthritis1,2.1801469080337145e-6,10878.198956832086,1.4056556229575,-9.274048409524038,1.792115477982016e-20,1.3867223774835385e-7,3.4275357618690974e-5,bisphosphonate,pattern_rt_gap,adjusted_comorb_cumdose,sens_all_follow_up
cumdose_cont,0.9999542660036019,5.085810888887344e-5,4.726598455823076e-5,-0.9676100615834443,0.3332391503746696,0.9998616349036759,1.0000469056852361,bisphosphonate,pattern_rt_gap,adjusted_comorb_cumdose,sens_all_follow_up
pattern_laggedcontinuous,1.51151718744692,1.0202133290114064,1.004045639115012,0.411449330785618,0.6807430878273728,0.21123597928249538,10.815791020581948,bisphosphonate,pattern_lagged,adjusted_comorb_cumdose,sens_all_follow_up
agegroup40-49,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_lagged,adjusted_comorb_cumdose,sens_all_follow_up
agegroup50-65,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_lagged,adjusted_comorb_cumdose,sens_all_follow_up
agegroup66-79,1.2814669936675716,0.4538657383786115,0.4538402802182653,0.546459891917578,0.5847498505021924,0.5264993965906251,3.1190114679965135,bisphosphonate,pattern_lagged,adjusted_comorb_cumdose,sens_all_follow_up
agegroup80+,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_lagged,adjusted_comorb_cumdose,sens_all_follow_up
sex1,0.7179545340706501,0.35799290541430356,0.370126070268649,-0.8952328992112748,0.37066260142303803,0.3475722220180385,1.4830262038772843,bisphosphonate,pattern_lagged,adjusted_comorb_cumdose,sens_all_follow_up
