readcode,medcode,readterm,icdcode
B30X.00,43614,"malignant neoplasm/bones+articular cartilage/limb,unspfd",C40
B30z.00,16075,malignant neoplasm of bone and articular cartilage nos,C40 C41
B30z000,19437,osteosarcoma,C40 C41
B31..00,34451,malignant neoplasm of connective and other soft tissue,C49
B310.00,43475,"malig neop of connective and soft tissue head, face and neck",C49
B310000,59382,malignant neoplasm of soft tissue of head,C49
B310100,40014,malignant neoplasm of soft tissue of face,C49
B310200,48517,malignant neoplasm of soft tissue of neck,C49
B310300,60035,malignant neoplasm of cartilage of ear,C44
B310400,49463,malignant neoplasm of tarsus of eyelid,C49
B310500,108389,malignant neoplasm soft tissues of cervical spine,C41
B310z00,73718,"malig neop connective and soft tissue head, face, neck nos",C49
B311.00,53989,malig neop connective and soft tissue upper limb/shoulder,C49
B311000,50222,malignant neoplasm of connective and soft tissue of shoulder,C49
B311100,64345,"malignant neoplasm of connective and soft tissue, upper arm",C49
B311200,57482,malignant neoplasm of connective and soft tissue of fore-arm,C49
B311300,19321,malignant neoplasm of connective and soft tissue of hand,C49
B311400,91586,malignant neoplasm of connective and soft tissue of finger,C49
B311500,63988,malignant neoplasm of connective and soft tissue of thumb,C49
B311z00,104913,malig neop connective soft tissue upper limb/shoulder nos,C49
B312.00,66088,malig neop of connective and soft tissue of hip and leg,C49
B312000,102949,malignant neoplasm of connective and soft tissue of hip,C49
B312100,44805,malig neop of connective and soft tissue thigh and upper leg,C49
B312200,54965,malig neop connective and soft tissue of popliteal space,C49
B312300,30542,malig neop of connective and soft tissue of lower leg,C49
B312400,54222,malignant neoplasm of connective and soft tissue of foot,C49
B312500,99572,malignant neoplasm of connective and soft tissue of toe,C49
B312z00,90546,malig neop connective and soft tissue hip and leg nos,C49
B313.00,22290,malignant neoplasm of connective and soft tissue of thorax,C49
B313000,29160,malignant neoplasm of connective and soft tissue of axilla,C49
B313100,54186,malignant neoplasm of diaphragm,C49
B313200,72522,malignant neoplasm of great vessels,C49
B313300,104139,malig neoplasm of connective and soft tissues of thor spine,C49
B313z00,98408,malig neop of connective and soft tissue of thorax nos,C49
B314.00,45071,malignant neoplasm of connective and soft tissue of abdomen,C49
B314000,66488,malig neop of connective and soft tissue of abdominal wall,C49
B314100,94272,malig neoplasm of connective and soft tissues of lumb spine,C49
B314z00,60247,malig neop of connective and soft tissue of abdomen nos,C49
B315.00,51965,malignant neoplasm of connective and soft tissue of pelvis,C49
B315000,70463,malignant neoplasm of connective and soft tissue of buttock,C49
B315100,67324,malig neop of connective and soft tissue of inguinal region,C49
B315200,59152,malignant neoplasm of connective and soft tissue of perineum,C49
B315300,110192,malig neopl of connective and soft tissue - sacrum or coccyx,C49
B315z00,58836,malig neop of connective and soft tissue of pelvis nos,C49
B316.00,57471,malig neop of connective and soft tissue trunk unspecified,C49
B317.00,111311,"malignant neoplasm, overlap lesion connective & soft tissue",C49
B31y.00,65233,malig neop connective and soft tissue other specified site,C49
B31z.00,15182,"malignant neoplasm of connective and soft tissue, site nos",C49
B31z000,104128,kaposi's sarcoma of soft tissue,C46
B32..00,865,malignant melanoma of skin,C43
B320.00,70637,malignant melanoma of lip,C43
B321.00,54632,malignant melanoma of eyelid including canthus,C43
B322.00,57260,malignant melanoma of ear and external auricular canal,C43
B322000,59061,malignant melanoma of auricle (ear),C43
B322100,102145,malignant melanoma of external auditory meatus,C43
B322z00,73744,malignant melanoma of ear and external auricular canal nos,C43
B323.00,47252,malignant melanoma of other and unspecified parts of face,C43
B323000,41278,malignant melanoma of external surface of cheek,C43
B323100,71136,malignant melanoma of chin,C43
B323200,47094,malignant melanoma of eyebrow,C43
B323300,68133,malignant melanoma of forehead,C43
B323400,45139,malignant melanoma of external surface of nose,C43
B323500,58958,malignant melanoma of temple,C43
B323z00,67806,malignant melanoma of face nos,C43
B324.00,65625,malignant melanoma of scalp and neck,C43
B324000,55881,malignant melanoma of scalp,C43
B324100,45306,malignant melanoma of neck,C43
B324z00,99257,malignant melanoma of scalp and neck nos,C43
B325.00,38689,malignant melanoma of trunk (excluding scrotum),C43
B325000,49814,malignant melanoma of axilla,C43
B325100,32768,malignant melanoma of breast,C43
B325200,53629,malignant melanoma of buttock,C43
B325300,34259,malignant melanoma of groin,C43
B325400,109002,malignant melanoma of perianal skin,C43
B325500,95629,malignant melanoma of perineum,C43
B325600,43715,malignant melanoma of umbilicus,C43
B325700,43463,malignant melanoma of back,C43
B325800,51209,malignant melanoma of chest wall,C43
B325z00,45760,"malignant melanoma of trunk, excluding scrotum, nos",C43
B326.00,65164,malignant melanoma of upper limb and shoulder,C43
B326000,50505,malignant melanoma of shoulder,C43
B326100,54685,malignant melanoma of upper arm,C43
B326200,45755,malignant melanoma of fore-arm,C43
B326300,62475,malignant melanoma of hand,C43
B326400,25602,malignant melanoma of finger,C43
B326500,63997,malignant melanoma of thumb,C43
B326z00,55292,malignant melanoma of upper limb or shoulder nos,C43
B327.00,46255,malignant melanoma of lower limb and hip,C43
B327000,73536,malignant melanoma of hip,C43
B327100,51873,malignant melanoma of thigh,C43
B327200,54305,malignant melanoma of knee,C43
B327300,39878,malignant melanoma of popliteal fossa area,C43
B327400,37872,malignant melanoma of lower leg,C43
B327500,42714,malignant melanoma of ankle,C43
B327600,61246,malignant melanoma of heel,C43
B327700,41490,malignant melanoma of foot,C43
B327800,36899,malignant melanoma of toe,C43
B327900,53369,malignant melanoma of great toe,C43
B327z00,64327,malignant melanoma of lower limb or hip nos,C43
B328.00,111079,malignant melanoma stage ia,C43
B329.00,109827,malignant melanoma stage ib,C43
B32A.00,110139,malignant melanoma stage iia,C43
B32B.00,110180,malignant melanoma stage iib,C43
B32C.00,111413,malignant melanoma stage iic,C43
B32D.00,111672,malignant melanoma stage iiia,C43
B32F.00,110961,malignant melanoma stage iiic,C43
B32G.00,109745,malignant melanoma stage iv m1a,C43
B32H.00,110483,malignant melanoma stage iv m1b,C43
B32J.00,111162,malignant melanoma stage iv m1c,C43
B32y.00,42153,malignant melanoma of other specified skin site,C43
B32y000,96585,overlapping malignant melanoma of skin,C43
B32z.00,28556,malignant melanoma of skin nos,C43
B33..00,4632,other malignant neoplasm of skin,C44
B33..11,876,basal cell carcinoma,C44
B33..13,1940,rodent ulcer,C44
B33..14,37016,malignant neoplasm of sebaceous gland,C44
B33..15,40443,malignant neoplasm of sweat gland,C44
B33..16,3445,epithelioma basal cell,C44
B330.00,18245,malignant neoplasm of skin of lip,C44
B331.00,43087,malignant neoplasm of eyelid including canthus,C44
B331000,36731,malignant neoplasm of canthus,C44
B331100,55550,malignant neoplasm of upper eyelid,C44
B331200,41958,malignant neoplasm of lower eyelid,C44
B332.00,53515,malignant neoplasm skin of ear and external auricular canal,C44
B332000,33997,malignant neoplasm of skin of auricle (ear),C44
B332100,62080,malignant neoplasm of skin of external auditory meatus,C44
B332200,33271,malignant neoplasm of pinna nec,C44
B332z00,62399,malig neop skin of ear and external auricular canal nos,C44
B333.00,27370,malignant neoplasm skin of other and unspecified parts face,C44
B333000,30645,"malignant neoplasm of skin of cheek, external",C44
B333100,49403,malignant neoplasm of skin of chin,C44
B333200,55670,malignant neoplasm of skin of eyebrow,C44
B333300,30576,malignant neoplasm of skin of forehead,C44
B333400,16202,malignant neoplasm of skin of nose (external),C44
B333500,21327,malignant neoplasm of skin of temple,C44
B333z00,46008,malignant neoplasm skin other and unspec part of face nos,C44
B334.00,54234,malignant neoplasm of scalp and skin of neck,C44
B334000,37165,malignant neoplasm of scalp,C44
B334100,43619,malignant neoplasm of skin of neck,C44
B334z00,73760,malignant neoplasm of scalp or skin of neck nos,C44
B335.00,57446,"malignant neoplasm of skin of trunk, excluding scrotum",C44
B335000,70380,malignant neoplasm of skin of axillary fold,C44
B335100,37969,"malignant neoplasm of skin of chest, excluding breast",C44
B335200,30543,malignant neoplasm of skin of breast,C44
B335300,18618,malignant neoplasm of skin of abdominal wall,C44
B335400,67748,malignant neoplasm of skin of umbilicus,C44
B335500,66319,malignant neoplasm of skin of groin,C44
B335600,46458,malignant neoplasm of skin of perineum,C44
B335700,45077,malignant neoplasm of skin of back,C44
B335800,62305,malignant neoplasm of skin of buttock,C44
B335900,23480,malignant neoplasm of perianal skin,C44
B335A00,66447,malignant neoplasm of skin of scapular region,C44
B335z00,15868,"malignant neoplasm of skin of trunk, excluding scrotum, nos",C44
B336.00,30747,malignant neoplasm of skin of upper limb and shoulder,C44
B336000,43122,malignant neoplasm of skin of shoulder,C44
B336100,42707,malignant neoplasm of skin of upper arm,C44
B336200,30577,malignant neoplasm of skin of fore-arm,C44
B336300,54352,malignant neoplasm of skin of hand,C44
B336400,25245,malignant neoplasm of skin of finger,C44
B336500,64406,malignant neoplasm of skin of thumb,C44
B336z00,60526,malignant neoplasm of skin of upper limb or shoulder nos,C44
B337.00,57442,malignant neoplasm of skin of lower limb and hip,C44
B337000,70988,malignant neoplasm of skin of hip,C44
B337100,58601,malignant neoplasm of skin of thigh,C44
B337200,56954,malignant neoplasm of skin of knee,C44
B337300,68197,malignant neoplasm of skin of popliteal fossa area,C44
B337400,33682,malignant neoplasm of skin of lower leg,C44
B337500,64270,malignant neoplasm of skin of ankle,C44
B337600,104025,malignant neoplasm of skin of heel,C43 C44
B337700,70587,malignant neoplasm of skin of foot,C44
B337800,65782,malignant neoplasm of skin of toe,C44
B337900,67914,malignant neoplasm of skin of great toe,C44
B337z00,61194,malignant neoplasm of skin of lower limb or hip nos,C44
B338.00,93352,squamous cell carcinoma of skin,C44
B339.00,24375,dermatofibrosarcoma protuberans,C44
B33X.00,42429,malignant neoplasm overlapping lesion of skin,C44
B33y.00,18354,malignant neoplasm of other specified skin sites,C44
B33z.00,2492,malignant neoplasm of skin nos,C44
B33z.11,93490,squamous cell carcinoma of skin nos,C44
B33z000,27931,kaposi's sarcoma of skin,C46
B34..00,3968,malignant neoplasm of female breast,C50
B34..11,348,ca female breast,C50
B340.00,26853,malignant neoplasm of nipple and areola of female breast,C50
B340000,23380,malignant neoplasm of nipple of female breast,C50
B340100,64686,malignant neoplasm of areola of female breast,C50
B340z00,59831,malignant neoplasm of nipple or areola of female breast nos,C50
B341.00,31546,malignant neoplasm of central part of female breast,C50
B342.00,29826,malignant neoplasm of upper-inner quadrant of female breast,C50
B343.00,45222,malignant neoplasm of lower-inner quadrant of female breast,C50
B344.00,23399,malignant neoplasm of upper-outer quadrant of female breast,C50
B345.00,42070,malignant neoplasm of lower-outer quadrant of female breast,C50
B346.00,20685,malignant neoplasm of axillary tail of female breast,C50
B347.00,49148,"malignant neoplasm, overlapping lesion of breast",C50
B34y.00,56715,malignant neoplasm of other site of female breast,C50
B34y000,95057,malignant neoplasm of ectopic site of female breast,C50
B34yz00,38475,malignant neoplasm of other site of female breast nos,C50
B34z.00,9470,malignant neoplasm of female breast nos,C50
B35..00,19423,malignant neoplasm of male breast,C50
B350.00,54494,malignant neoplasm of nipple and areola of male breast,C50
B350000,68480,malignant neoplasm of nipple of male breast,C50
B350100,67884,malignant neoplasm of areola of male breast,C50
B35z.00,54202,malignant neoplasm of other site of male breast,C50
B35z000,95323,malignant neoplasm of ectopic site of male breast,C50
B35zz00,48809,malignant neoplasm of male breast nos,C50
B36..00,105488,local recurrence of malignant tumour of breast,C50
B3y..00,19389,"malig neop of bone, connective tissue, skin and breast os",C76
B3z..00,41011,"malig neop of bone, connective tissue, skin and breast nos",C76
B4...00,13252,malignant neoplasm of genitourinary organ,C68
B4...11,16874,carcinoma of genitourinary organ,C57 C63
B40..00,2744,"malignant neoplasm of uterus, part unspecified",C55
B41..00,2747,malignant neoplasm of cervix uteri,C53
B41..11,3230,cervical carcinoma (uterus),C53
B410.00,48820,malignant neoplasm of endocervix,C53
B410000,57235,malignant neoplasm of endocervical canal,C53
B410100,53103,malignant neoplasm of endocervical gland,C53
B410z00,50285,malignant neoplasm of endocervix nos,C53
B411.00,50297,malignant neoplasm of exocervix,C53
B412.00,58094,"malignant neoplasm, overlapping lesion of cervix uteri",C53
B41y.00,32955,malignant neoplasm of other site of cervix,C53
B41y000,95505,malignant neoplasm of cervical stump,C53
B41y100,57719,malignant neoplasm of squamocolumnar junction of cervix,C53
B41yz00,43435,malignant neoplasm of other site of cervix nos,C53
B41z.00,28311,malignant neoplasm of cervix uteri nos,C53
B42..00,93762,malignant neoplasm of placenta,C58
B420.00,28003,choriocarcinoma,C58
B43..00,7046,malignant neoplasm of body of uterus,C54
B430.00,3213,"malignant neoplasm of corpus uteri, excluding isthmus",C54
B430000,72723,malignant neoplasm of cornu of corpus uteri,C54
B430100,68155,malignant neoplasm of fundus of corpus uteri,C54
B430200,2890,malignant neoplasm of endometrium of corpus uteri,C54
B430211,49400,malignant neoplasm of endometrium,C54
B430300,45793,malignant neoplasm of myometrium of corpus uteri,C54
B430z00,45490,malignant neoplasm of corpus uteri nos,C54
B431.00,43940,malignant neoplasm of isthmus of uterine body,C54
B431000,59097,malignant neoplasm of lower uterine segment,C54
B431z00,70729,malignant neoplasm of isthmus of uterine body nos,C54
B432.00,16967,malignant neoplasm of overlapping lesion of corpus uteri,C54
B43y.00,31608,malignant neoplasm of other site of uterine body,C54
B43z.00,33617,malignant neoplasm of body of uterus nos,C54
B44..00,19141,malignant neoplasm of ovary and other uterine adnexa,C57
B440.00,7805,malignant neoplasm of ovary,C56
B440.11,1986,cancer of ovary,C56
B441.00,49828,malignant neoplasm of fallopian tube,C57
B442.00,101778,malignant neoplasm of broad ligament,C57
B443.00,46153,malignant neoplasm of parametrium,C57
B44y.00,97996,malignant neoplasm of other site of uterine adnexa,C57
B44z.00,65106,malignant neoplasm of uterine adnexa nos,C57
B45..00,4555,malig neop of other and unspecified female genital organs,C57
B450.00,37328,malignant neoplasm of vagina,C52
B450100,10698,malignant neoplasm of vaginal vault,C52
B450z00,60772,malignant neoplasm of vagina nos,C52
B451.00,43761,malignant neoplasm of labia majora,C08
B451000,47899,malignant neoplasm of greater vestibular (bartholin's) gland,C51
B451z00,59362,malignant neoplasm of labia majora nos,C08
B452.00,58061,malignant neoplasm of labia minora,C51
B453.00,53910,malignant neoplasm of clitoris,C51
B454.00,4554,malignant neoplasm of vulva unspecified,C51
B454.11,11991,primary vulval cancer,C51
B45X.00,26454,malignant neoplasm/overlapping lesion/feml genital organs,C57
B45y.00,95421,malignant neoplasm of other specified female genital organ,C57
B45y000,27617,malignant neoplasm of overlapping lesion of vulva,C51
B45z.00,20166,malignant neoplasm of female genital organ nos,C57
B46..00,780,malignant neoplasm of prostate,C61
B47..00,15148,malignant neoplasm of testis,C62
B470.00,64602,malignant neoplasm of undescended testis,C62
B470200,7740,seminoma of undescended testis,C62
B470z00,96429,malignant neoplasm of undescended testis nos,C62
B471.00,19475,malignant neoplasm of descended testis,C62
B471000,21786,seminoma of descended testis,C62
B471z00,91509,malignant neoplasm of descended testis nos,C62
B47z.00,38510,malignant neoplasm of testis nos,C62
B47z.11,2961,seminoma of testis,C62
B48..00,3541,malignant neoplasm of penis and other male genital organs,C63
B480.00,50681,malignant neoplasm of prepuce (foreskin),C60
B481.00,17841,malignant neoplasm of glans penis,C60
B482.00,48743,malignant neoplasm of body of penis,C60
B483.00,43392,"malignant neoplasm of penis, part unspecified",C60
B484.00,72127,malignant neoplasm of epididymis,C63
B485.00,63331,malignant neoplasm of spermatic cord,C63
B486.00,47767,malignant neoplasm of scrotum,C63
B487.00,52570,"malignant neoplasm, overlapping lesion of penis",C60
B48y.00,67949,malignant neoplasm of other male genital organ,C63
B48y000,68161,malignant neoplasm of seminal vesicle,C63
B48y100,47668,malignant neoplasm of tunica vaginalis,C63
B48y200,68824,"malignant neoplasm, overlapping lesion male genital orgs",C63
B48yz00,92329,malignant neoplasm of other male genital organ nos,C57
B48z.00,63224,malignant neoplasm of penis and other male genital organ nos,C63
B49..00,779,malignant neoplasm of urinary bladder,C67
B490.00,38862,malignant neoplasm of trigone of urinary bladder,C67
B491.00,44996,malignant neoplasm of dome of urinary bladder,C67
B492.00,35963,malignant neoplasm of lateral wall of urinary bladder,C67
B493.00,19162,malignant neoplasm of anterior wall of urinary bladder,C67
B494.00,42012,malignant neoplasm of posterior wall of urinary bladder,C67
B495.00,41571,malignant neoplasm of bladder neck,C67
B496.00,28241,malignant neoplasm of ureteric orifice,C67
B497.00,42023,malignant neoplasm of urachus,C67
B498.00,105388,local recurrence of malignant tumour of urinary bladder,C67
B49y.00,36949,malignant neoplasm of other site of urinary bladder,C67
B49y000,47801,"malignant neoplasm, overlapping lesion of bladder",C67
B49z.00,31102,malignant neoplasm of urinary bladder nos,C67
B4A..00,13559,malig neop of kidney and other unspecified urinary organs,C68
B4A..11,18712,renal malignant neoplasm,C64
B4A0.00,1599,malignant neoplasm of kidney parenchyma,C64
B4A0000,7978,hypernephroma,C64
B4A1.00,12389,malignant neoplasm of renal pelvis,C65
B4A1000,27540,malignant neoplasm of renal calyces,C65
B4A1100,101608,malignant neoplasm of ureteropelvic junction,C65
B4A1z00,54184,malignant neoplasm of renal pelvis nos,C65
B4A2.00,15223,malignant neoplasm of ureter,C66
B4A3.00,15644,malignant neoplasm of urethra,C68
B4A4.00,72174,malignant neoplasm of paraurethral glands,C68
B4Ay.00,44884,malignant neoplasm of other urinary organs,C68
B4Ay000,59286,malignant neoplasm of overlapping lesion of urinary organs,C68
B4Az.00,29462,malignant neoplasm of kidney or urinary organs nos,C68
B4y..00,38931,malignant neoplasm of genitourinary organ os,C68
B4z..00,52594,malignant neoplasm of genitourinary organ nos,C68
B5...00,10995,malignant neoplasm of other and unspecified sites,C80
B5...11,8693,carcinoma of other and unspecified sites,C80
B50..00,20160,malignant neoplasm of eye,C69
B500.00,98813,"malig neop eyeball excl conjunctiva, cornea, retina, choroid",C69
B500000,59041,malignant neoplasm of ciliary body,C69
B500100,59381,malignant neoplasm of iris,C69
B500200,106569,malignant neoplasm of crystalline lens,C69
B500z00,56718,malignant neoplasm of eyeball nos,C69
B501.00,45667,malignant neoplasm of orbit,C69
B501000,86996,malignant neoplasm of connective tissue of orbit,C49
B501z00,63104,malignant neoplasm of orbit nos,C69
B502.00,64817,malignant neoplasm of lacrimal gland,C69
B503.00,63657,malignant neoplasm of conjunctiva,C69
B504.00,73992,malignant neoplasm of cornea,C69
B505.00,28069,malignant neoplasm of retina,C69
B506.00,15991,malignant neoplasm of choroid,C69
B507.00,71584,malignant neoplasm of lacrimal duct,C69
B507000,101805,malignant neoplasm of lacrimal sac,C69
B507100,65357,malignant neoplasm of nasolacrimal duct,C69
B508.00,45922,"malignant neoplasm, overlapping lesion of eye and adnexa",C69
B509.00,108363,malignant melanoma of eye,C43
B50y.00,40437,malignant neoplasm of other specified site of eye,C69
B50z.00,54956,malignant neoplasm of eye nos,C69
B51..00,18617,malignant neoplasm of brain,C71
B51..11,10851,cerebral tumour - malignant,C71
B510.00,15711,malignant neoplasm cerebrum (excluding lobes and ventricles),C71
B510000,48073,malignant neoplasm of basal ganglia,C71
B510100,61399,malignant neoplasm of cerebral cortex,C71
B510300,99913,malignant neoplasm of globus pallidus,C71
B510400,70942,malignant neoplasm of hypothalamus,C71
B510500,62126,malignant neoplasm of thalamus,C71
B510z00,54133,malignant neoplasm of cerebrum nos,C71
B511.00,42426,malignant neoplasm of frontal lobe,C71
B512.00,46792,malignant neoplasm of temporal lobe,C71
B512000,67236,malignant neoplasm of hippocampus,C44
B512z00,47556,malignant neoplasm of temporal lobe nos,C71
B513.00,19226,malignant neoplasm of parietal lobe,C71
B514.00,39088,malignant neoplasm of occipital lobe,C71
B515.00,52511,malignant neoplasm of cerebral ventricles,C71
B515000,46789,malignant neoplasm of choroid plexus,C69
B516.00,45154,malignant neoplasm of cerebellum,C71
B517.00,44089,malignant neoplasm of brain stem,C71
B517000,64557,malignant neoplasm of cerebral peduncle,C71
B517100,49132,malignant neoplasm of medulla oblongata,C74
B517200,93537,malignant neoplasm of midbrain,C71
B517300,91240,malignant neoplasm of pons,C71
B517z00,68641,malignant neoplasm of brain stem nos,C71
B51y.00,71139,malignant neoplasm of other parts of brain,C71
B51y000,59170,malignant neoplasm of corpus callosum,C71
B51y200,65241,"malignant neoplasm, overlapping lesion of brain",C71
B51yz00,100733,malignant neoplasm of other part of brain nos,C71
B51z.00,41520,malignant neoplasm of brain nos,C71
B52..00,65458,malig neop of other and unspecified parts of nervous system,C72
B520.00,99621,malignant neoplasm of cranial nerves,C72
B520000,64971,malignant neoplasm of olfactory bulb,C72
B520100,70126,malignant neoplasm of optic nerve,C72
B520200,65599,malignant neoplasm of acoustic nerve,C72
B520z00,101086,malignant neoplasm of cranial nerves nos,C72
B521.00,28919,malignant neoplasm of cerebral meninges,C70
B521000,110766,malignant neoplasm of cerebral dura mater,C70
B521200,109473,malignant neoplasm of cerebral pia mater,C70
B521z00,70104,malignant neoplasm of cerebral meninges nos,C70
B522.00,51115,malignant neoplasm of spinal cord,C72
B523.00,49714,malignant neoplasm of spinal meninges,C70
B523z00,67211,malignant neoplasm of spinal meninges nos,C70
B524.00,24235,malig neopl peripheral nerves and autonomic nervous system,C47
B524000,63568,"malignant neoplasm of peripheral nerves of head, face & neck",C47
B524100,61716,"malignant neoplasm of peripheral nerve,upp limb,incl should",C47
B524200,89258,"malignant neoplasm of peripheral nerve of low limb, incl hip",C47
B524300,63695,malignant neoplasm of peripheral nerve of thorax,C47
B524400,86046,malignant neoplasm of peripheral nerve of abdomen,C47
B524500,73988,malignant neoplasm of peripheral nerve of pelvis,C47
B524600,50777,"malignant neoplasm,overlap lesion periph nerve & auton ns",C47
B524W00,106654,"mal neoplasm/periph nerves+autonomic nervous system,unspc",C47
B525.00,9622,malignant neoplasm of cauda equina,C72
B52W.00,53504,"malig neopl, overlap lesion brain & other part of cns",C71
B52X.00,49875,"malignant neoplasm of meninges, unspecified",C70
B52y.00,88144,malignant neoplasm of other specified part of nervous system,C72
B52z.00,56490,malignant neoplasm of nervous system nos,C72
B53..00,5637,malignant neoplasm of thyroid gland,C73
B54..00,30511,malig neop of other endocrine glands and related structures,C75
B540.00,28148,malignant neoplasm of adrenal gland,C74
B540000,61390,malignant neoplasm of adrenal cortex,C74
B540100,94220,malignant neoplasm of adrenal medulla,C74
B540z00,70824,malignant neoplasm of adrenal gland nos,C74
B541.00,4218,malignant neoplasm of parathyroid gland,C75
B542.00,59823,malignant neoplasm pituitary gland and craniopharyngeal duct,C75
B542000,8550,malignant neoplasm of pituitary gland,C75
B542100,39899,malignant neoplasm of craniopharyngeal duct,C75
B542z00,59718,malig neop pituitary gland or craniopharyngeal duct nos,C75
B543.00,42460,malignant neoplasm of pineal gland,C75
B544.00,57047,malignant neoplasm of carotid body,C75
B545.00,50035,malignant neoplasm of aortic body and other paraganglia,C75
B545000,51795,malignant neoplasm of glomus jugulare,C75
B545100,47840,malignant neoplasm of aortic body,C75
B545200,46905,malignant neoplasm of coccygeal body,C41
B545z00,103995,malignant neoplasm of aortic body or paraganglia nos,C75
B546.00,100083,neuroblastoma,C80
B54X.00,87113,"malignant neoplasm-pluriglandular involvement,unspecified",C75
B54y.00,90659,malignant neoplasm of other specified endocrine gland,C75
B54z.00,64195,malig neop of endocrine gland or related structure nos,C75
B55..00,9030,malignant neoplasm of other and ill-defined sites,C76
B550.00,68236,"malignant neoplasm of head, neck and face",C76
B550000,55098,malignant neoplasm of head nos,C49
B550100,41931,malignant neoplasm of cheek nos,C06
B550200,12490,malignant neoplasm of nose nos,C76
B550300,51818,malignant neoplasm of jaw nos,C76
B550400,16280,malignant neoplasm of neck nos,C76
B550500,73510,malignant neoplasm of supraclavicular fossa nos,C41
B550z00,58903,"malignant neoplasm of head, neck and face nos",C76
B551.00,47286,malignant neoplasm of thorax,C76
B551000,37618,malignant neoplasm of axilla nos,C80
B551100,23861,malignant neoplasm of chest wall nos,C76
B551200,97547,malignant neoplasm of intrathoracic site nos,C39
B551z00,64810,malignant neoplasm of thorax nos,C76
B552.00,15976,malignant neoplasm of abdomen,C76
B553.00,52316,malignant neoplasm of pelvis,C76
B553000,57854,malignant neoplasm of inguinal region nos,C80
B553100,89916,malignant neoplasm of presacral region,C13
B553200,107126,malignant neoplasm of sacrococcygeal region,C76
B553z00,55101,malignant neoplasm of pelvis nos,C76
B554.00,27449,malignant neoplasm of upper limb nos,C76
B555.00,31399,malignant neoplasm of lower limb nos,C76
B55y.00,42218,malignant neoplasm of other specified sites,C80
B55y000,68787,malignant neoplasm of back nos,C76
B55y100,67217,malignant neoplasm of trunk nos,C49
B55y200,94355,malignant neoplasm of flank nos,C76
B55yz00,60052,malignant neoplasm of specified site nos,C80
B55z.00,45267,malignant neoplasm of other and ill defined site nos,C76
B56..00,9618,secondary and unspecified malignant neoplasm of lymph nodes,C77
B56..11,7830,lymph node metastases,C77
B560.00,49214,secondary and unspec malig neop lymph nodes head/face/neck,C77
B560000,64918,secondary and unspec malig neop of superficial parotid ln,C77
B560100,66775,secondary and unspec malignant neoplasm mastoid lymph nodes,C77
B560200,33395,secondary and unspec malig neop superficial cervical ln,C77
B560300,65253,secondary and unspec malignant neoplasm occipital lymph node,C77
B560400,92703,secondary and unspec malig neop deep parotid lymph nodes,C77
B560500,39433,secondary and unspec malig neop submandibular lymph nodes,C77
B560600,28059,secondary and unspec malig neop of facial lymph nodes,C77
B560700,38343,secondary and unspec malig neop submental lymph nodes,C77
B560800,44627,secondary and unspec malig neop anterior cervical ln,C77
B560900,68611,secondary and unspec malig neop deep cervical ln,C77
B560z00,67129,secondary unspec malig neop lymph nodes head/face/neck nos,C77
B561.00,64116,secondary and unspec malig neop intrathoracic lymph nodes,C77
B561000,37919,secondary and unspec malig neop internal mammary lymph nodes,C77
B561200,95378,secondary and unspec malig neop diaphragmatic lymph nodes,C77
B561300,25366,secondary and unspec malig neop ant mediastinal lymph nodes,C77
B561400,55463,secondary and unspec malig neop post mediastinal lymph nodes,C77
B561500,58692,secondary and unspec malig neop paratracheal lymph nodes,C77
B561600,67797,secondary and unspec malig neop superfic tracheobronchial ln,C77
B561700,69392,secondary and unspec malig neop inferior tracheobronchial ln,C77
B561800,62124,secondary and unspec malig neop bronchopulmonary lymph nodes,C77
B561900,52190,secondary and unspec malig neop pulmonary lymph nodes,C77
B561z00,93716,secondary and unspec malig neop intrathoracic ln nos,C77
B562.00,52736,secondary and unspec malig neop intra-abdominal lymph nodes,C77
B562000,41691,secondary and unspec malig neop coeliac lymph nodes,C77
B562100,72713,secondary and unspec malig neop superficial mesenteric ln,C77
B562200,61677,secondary and unspec malig neop inferior mesenteric ln,C77
B562300,18658,secondary and unspec malig neop common iliac lymph nodes,C77
B562400,69132,secondary and unspec malig neop external iliac lymph nodes,C77
B562z00,44931,secondary and unspec malig neop intra-abdominal ln nos,C77
B563.00,50199,secondary and unspec malig neop axilla and upper limb ln,C77
B563000,37540,secondary and unspec malig neop axillary lymph nodes,C77
B563100,98626,secondary and unspec malig neop supratrochlear lymph nodes,C77
B563200,50904,secondary and unspec malig neop infraclavicular lymph nodes,C77
B563300,46409,secondary and unspec malig neop pectoral lymph nodes,C77
B563z00,73538,secondary and unspec malig neop axilla and upper limb ln nos,C77
B564.00,63915,secondary and unspec malig neop inguinal and lower limb ln,C77
B564000,54278,secondary and unspec malig neop superficial inguinal ln,C77
B564100,61289,secondary and unspec malig neop deep inguinal lymph nodes,C77
B564z00,70747,secondary and unspec malig neop of inguinal and leg ln nos,C77
B565.00,6701,secondary and unspec malig neop intrapelvic lymph nodes,C77
B565000,84368,secondary and unspec malig neop internal iliac lymph nodes,C77
B565300,47366,secondary and unspec malig neop sacral lymph nodes,C77
B565z00,72803,secondary and unspec malig neop intrapelvic ln nos,C77
B56y.00,20159,secondary and unspec malig neop lymph nodes multiple sites,C77
B56z.00,15507,secondary and unspec malig neop lymph nodes nos,C77
