prodcode,dmdcode,productname
62876,2.8546E+16,"Aviticol 20,000unit capsules (Colonis Pharma Ltd)"
62857,2.35242E+16,HealthAid Vitamin D3 200units/drop oral drops (HealthAid Ltd)
62885,2.80036E+16,"Stexerol-D3 1,000unit tablets (Kyowa Kirin Ltd)"
62949,2.80126E+16,"Colecalciferol 25,000unit tablets"
63001,2.77081E+16,"SunVit-D3 5,000unit tablets (SunVit-D3 Ltd)"
63034,2.77076E+16,"SunVit-D3 2,000unit tablets (SunVit-D3 Ltd)"
62565,2.80039E+16,"Stexerol-D3 25,000unit tablets (Kyowa Kirin Ltd)"
62600,2.79423E+16,"Plenachol D3 40,000unit capsules (Accord Healthcare Ltd)"
62263,2.79425E+16,"Plenachol D3 20,000unit capsules (Accord Healthcare Ltd)"
62118,2.36565E+16,"Vitamin D3 Lemon Melts 2,000unit tablets (Nutri Advanced Ltd)"
61959,2.25238E+16,"SunVit-D3 50,000unit tablets (SunVit-D3 Ltd)"
62275,2.45804E+16,"Colecalciferol 20,000units/ml oral solution"
62085,2.46557E+16,"Colecalciferol 25,000units/1ml oral solution unit dose ampoules sugar free"
62099,2.32923E+16,"D-Vit3 1,000unit tablets (IPS Specials)"
61853,2.46421E+16,"D-Max 20,000unit capsules (Nutraconcepts Ltd)"
61359,2.46514E+16,"InVita D3 25,000units/1ml oral solution (Consilient Health Ltd)"
61536,2.25232E+16,"SunVit-D3 10,000unit tablets (SunVit-D3 Ltd)"
61467,2.26412E+16,"Colecal D3 20,000unit capsules (Disposable Medical Equipment Ltd)"
61130,2.36562E+16,D3 Lemon Melts 500unit tablets (Nutri Advanced Ltd)
61203,2.32913E+16,"D-Vit3 1,000unit capsules (IPS Specials)"
61170,1.9981E+16,"Vitamin D3 Streuli 300,000units/1ml solution for injection ampoules (Imported (Switzerland))"
61040,2.46053E+16,"Hux D3 3,200unit capsules (Huxley Europe Ltd)"
61004,2.36533E+16,"Colecalciferol 20,000unit capsules (Phoenix Healthcare Distribution Ltd)"
60675,2.44958E+16,"Colecalciferol 3,200unit capsules"
60525,2.36619E+16,Colecalciferol 500unit orodispersible tablets sugar free
60582,1.18159E+16,"Colecalciferol 20,000units/5ml oral suspension"
60290,1.94878E+16,"Colecalciferol 20,000unit capsules (Huxley Europe Ltd)"
60526,2.44694E+16,"Fultium-D3 3,200unit capsules (Internis Pharmaceuticals Ltd)"
60437,2.27793E+16,"E-D3 3,000units/ml oral solution (Ennogen Healthcare Ltd)"
60114,2.36654E+16,"OsteoCaps D3 1,000unit capsules (Rhodes Pharma Ltd)"
59827,2.39053E+16,"Cubicole D3 2,200unit tablets (Cubic Pharmaceuticals Ltd)"
59882,2.3649E+16,"Vitamin D3 High Strength 5,000unit tablets (Nutri Advanced Ltd)"
59864,2.13745E+16,"Colecalciferol 1,000unit capsules (A A H Pharmaceuticals Ltd)"
59983,2.32948E+16,"D-Vit3 20,000unit tablets (IPS Specials)"
59927,2.32938E+16,"D-Vit3 20,000unit capsules (IPS Specials)"
59841,2.36618E+16,"Colecalciferol 2,000unit orodispersible tablets sugar free"
59566,2.32952E+16,D-Vit3 400unit capsules (IPS Specials)
59386,2.16117E+16,"Cubicole D3 5,000unit capsules (Cubic Pharmaceuticals Ltd)"
59659,2.32705E+16,Lamberts Vitamin D3 280unit chewable tablets (Lamberts Healthcare Ltd)
59043,2.35596E+16,Colecalciferol 200units/drop oral drops sugar free
58999,2.36377E+16,"Colecalciferol 2,000unit tablets"
59158,2.26592E+16,"OsteoCaps D3 20,000unit capsules (Rhodes Pharma Ltd)"
59167,1.1816E+16,Colecalciferol 400units/5ml oral suspension
58658,2.33049E+16,Colecalciferol 280unit chewable tablets
58596,2.25235E+16,"SunVit-D3 20,000unit tablets (SunVit-D3 Ltd)"
58360,2.16123E+16,"Cubicole D3 30,000unit capsules (Cubic Pharmaceuticals Ltd)"
58087,2.16121E+16,"Cubicole D3 20,000unit capsules (Cubic Pharmaceuticals Ltd)"
57862,2.16106E+16,Cubicole D3 600unit capsules (Cubic Pharmaceuticals Ltd)
57791,2.1258E+16,"ColeVit D3 20,000units/ml oral solution (Sterling Pharmaceuticals Ltd)"
58101,2.24907E+16,"Nature's Remedy Vitamin D3 5,000unit tablets (Nature's Remedy Ltd)"
58031,2.2261E+16,"Baby D 1,000units/ml oral solution (KoRa Healthcare)"
58181,2.12572E+16,"ColeVit D3 30,000unit capsules (Sterling Pharmaceuticals Ltd)"
58223,2.26414E+16,"Colecal D3 20,000unit tablets (Disposable Medical Equipment Ltd)"
57351,2.22597E+16,"Aciferol D3 2,000units/ml liquid (Rhodes Pharma Ltd)"
57335,2.16125E+16,"Cubicole D3 50,000unit capsules (Cubic Pharmaceuticals Ltd)"
57336,2.16112E+16,"Cubicole D3 2,200unit capsules (Cubic Pharmaceuticals Ltd)"
57364,2.16103E+16,Cubicole D3 400unit capsules (Cubic Pharmaceuticals Ltd)
57070,2.21966E+16,"E-D3 20,000unit tablets (Ennogen Healthcare Ltd)"
57046,2.00073E+16,"Colecalciferol 300,000units/1ml solution for injection ampoules"
57058,2.17165E+16,"Aciferol D3 3,000units/ml liquid (Rhodes Pharma Ltd)"
57309,2.25551E+16,"Colecalciferol 50,000unit tablets"
57099,2.24029E+16,"Colecalciferol 5,000units/5ml oral solution"
57071,2.22599E+16,"Pro D3 2,000units/ml liquid (Synergy Biologics Ltd)"
56948,2.21932E+16,"Vita-D3 1,000unit tablets (Forum Health Products Ltd)"
57218,2.16115E+16,"Cubicole D3 3,000unit capsules (Cubic Pharmaceuticals Ltd)"
56944,2.2193E+16,Vita-D3 400unit tablets (Forum Health Products Ltd)
56294,1.96777E+16,"Colecalciferol 30,000units/5ml oral solution"
56906,2.16119E+16,"Cubicole D3 10,000unit capsules (Cubic Pharmaceuticals Ltd)"
56541,2.24027E+16,"Colecalciferol 10,000units/5ml oral solution"
56562,2.1611E+16,"Cubicole D3 1,000unit capsules (Cubic Pharmaceuticals Ltd)"
56043,1.85195E+16,"Colecalciferol 5,000unit capsules"
56123,2.1905E+16,"Plenachol 40,000unit capsules (D3 Pharma)"
55504,2.19394E+16,"Colecalciferol 40,000unit capsules"
55707,2.12576E+16,"ColeVit D3 50,000unit capsules (Sterling Pharmaceuticals Ltd)"
55458,2.19047E+16,"Plenachol 20,000unit capsules (D3 Pharma)"
55628,1.85393E+16,"ZymaD 10,000units/ml oral solution (Imported (France))"
55235,2.11717E+16,"Aciferol D3 3,000unit tablets (Rhodes Pharma Ltd)"
54994,2.1173E+16,"Aciferol D3 30,000unit capsules (Rhodes Pharma Ltd)"
55194,2.16772E+16,"Colecalciferol 20,000unit capsules (A A H Pharmaceuticals Ltd)"
54981,2.12565E+16,"ColeVit D3 10,000unit capsules (Sterling Pharmaceuticals Ltd)"
54995,2.17169E+16,"ColeVit D3 3,000units/ml oral solution (Sterling Pharmaceuticals Ltd)"
55373,2.00919E+16,DLux 400 oral spray (BetterYou Ltd)
54908,2.17162E+16,"NphD3 3,000units/ml oral solution (Northwick Park Hospital Specials)"
54612,2.12548E+16,"Aciferol D3 2,000units/ml liquid (Fontus Health Ltd)"
54657,2.1172E+16,"Aciferol D3 5,000unit tablets (Rhodes Pharma Ltd)"
54390,2.04573E+16,"Bio-Vitamin D3 1,000unit capsules (Pharma Nord (UK) Ltd)"
54561,1.8496E+16,"Colecalciferol 6,000units/5ml oral suspension"
54659,2.17171E+16,"Pro D3 forte 3,000units/ml liquid (Synergy Biologics Ltd)"
54123,2.11714E+16,"Aciferol D3 2,200unit tablets (Rhodes Pharma Ltd)"
54022,1.85194E+16,"Colecalciferol 3,000unit capsules"
53987,2.12578E+16,"ColeVit D3 3,000units/ml oral solution (Sterling Pharmaceuticals Ltd)"
54259,1.75143E+16,Solgar Vitamin D3 400unit capsules (Solgar Vitamin and Herb)
53861,2.09328E+16,"Colecalciferol 2,200unit tablets"
53862,2.1256E+16,"ColeVit D3 2,200unit capsules (Sterling Pharmaceuticals Ltd)"
53806,2.12563E+16,"ColeVit D3 5,000unit capsules (Sterling Pharmaceuticals Ltd)"
53678,2.00927E+16,Neo-D 800units/ml oral drops (Neoceuticals Ltd)
50387,2.09072E+16,"Aciferol D3 1,000unit tablets (Rhodes Pharma Ltd)"
53212,2.11723E+16,"Aciferol D3 10,000unit tablets (Rhodes Pharma Ltd)"
51402,2.11728E+16,"Aciferol D3 20,000unit tablets (Rhodes Pharma Ltd)"
50394,2.09061E+16,Aciferol D3 400unit tablets (Rhodes Pharma Ltd)
50245,2.11733E+16,"Aciferol D3 50,000unit capsules (Rhodes Pharma Ltd)"
52783,1.8774E+16,"Baby D 1,000units/ml oral solution (KoRa Healthcare)"
52279,2.04578E+16,"Bio-Vitamin D3 20,000unit capsules (Pharma Nord (UK) Ltd)"
51490,2.04576E+16,"Bio-Vitamin D3 5,000unit capsules (Pharma Nord (UK) Ltd)"
52447,2.0457E+16,Bio-Vitamin D3 800unit capsules (Pharma Nord (UK) Ltd)
49993,1.8781E+16,"Colecalciferol 1,000units/ml oral solution"
50600,2.09327E+16,"Colecalciferol 10,000unit tablets"
48846,1.85396E+16,"Colecalciferol 10,000units/ml oral solution"
53534,8.42841E+15,"Colecalciferol 15,000units/5ml oral suspension"
51082,1.96263E+16,"Colecalciferol 2,000units/ml oral drops sugar free"
51124,2.12682E+16,"Colecalciferol 2,000units/ml oral solution"
50260,2.02935E+16,"Colecalciferol 2,000units/ml oral solution sugar free"
52210,2.01729E+16,"Colecalciferol 20,000unit capsules (Alissa Healthcare Research Ltd)"
49912,2.09329E+16,"Colecalciferol 20,000unit tablets"
50181,1.80241E+16,"Colecalciferol 20,000units/ml oral drops"
49283,2.0933E+16,"Colecalciferol 3,000unit tablets"
50991,2.12683E+16,"Colecalciferol 3,000units/ml oral solution"
48840,1.93726E+16,Colecalciferol 400unit tablets
49150,2.01136E+16,Colecalciferol 400units/dose oral spray sugar free
51125,2.05554E+16,"Colecalciferol 5,000unit tablets"
52315,2.13015E+16,Colecalciferol 500unit capsules
49935,1.7313E+16,Colecalciferol 600unit capsules
49149,2.12447E+16,Colecalciferol 800unit tablets
49682,2.01137E+16,Colecalciferol 800units/ml oral drops sugar free
53290,2.12557E+16,"ColeVit D3 1,000unit capsules (Sterling Pharmaceuticals Ltd)"
53596,2.12568E+16,"ColeVit D3 20,000unit capsules (Sterling Pharmaceuticals Ltd)"
51216,2.12555E+16,ColeVit D3 400unit capsules (Sterling Pharmaceuticals Ltd)
51586,2.12156E+16,Desunin 800unit tablets (Mylan)
48908,2.05476E+16,"Hux D3 20,000unit capsules (Huxley Europe Ltd)"
49543,1.93663E+16,Lamberts Vitamin D3 400unit tablets (Lamberts Healthcare Ltd)
50373,2.02814E+16,"Pro D3 2,000units/ml liquid (Synergy Biologics Ltd)"
53257,1.96258E+16,"Pro D3 2,000units/ml liquid drops (Synergy Biologics Ltd)"
49447,2.0282E+16,"Pro D3 forte 3,000units/ml liquid (Synergy Biologics Ltd)"
48993,1.73266E+16,"Solgar Vitamin D3 1,000unit capsules (Solgar Vitamin and Herb)"
50401,1.73088E+16,"Solgar Vitamin D3 2,200unit capsules (Solgar Vitamin and Herb)"
50213,1.99036E+16,"SunVit-D3 1,000unit tablets (SunVit-D3 Ltd)"
51902,2.05095E+16,"SynerVit-D3 20,000unit capsules (Synergy Pharmaceuticals)"
49679,1.9504E+16,"Valupak Vitamin D3 1,000unit tablets (BR Pharmaceuticals Ltd)"
53010,2.13017E+16,Vitamin D3 500IU capsules (Nature's Remedy Ltd)
47561,1.98993E+16,"Colecalciferol 20,000units/ml oral solution sugar free"
47637,1.98872E+16,"ColeVit D3 20,000units/ml oral solution (Sterling Pharmaceuticals Ltd)"
47720,1.98869E+16,"ColeVit D3 3,000units/ml oral solution (Sterling Pharmaceuticals Ltd)"
47429,1.98994E+16,"Colecalciferol 3,000units/ml oral solution sugar free"
47326,1.96258E+16,"Pro D3 2,000units/ml liquid drops (Synergy Biologics Ltd)"
47082,1.73344E+16,"Colecalciferol 1,000unit capsules"
47079,1.62109E+16,"Colecalciferol 10,000unit capsules"
47268,1.96263E+16,"Colecalciferol 2,000units/ml oral drops sugar free"
47182,1.91999E+16,"Colecalciferol 2,500unit capsules"
47188,1.92E+16,"Colecalciferol 30,000unit capsules"
47183,1.85195E+16,"Colecalciferol 5,000unit capsules"
47166,1.99205E+16,Fultium-D3 800unit capsules (Internis Pharmaceuticals Ltd)
47133,1.91821E+16,"Pro D3 1,000unit capsules (Synergy Biologics Ltd)"
47078,1.91827E+16,"Pro D3 10,000unit capsules (Synergy Biologics Ltd)"
47186,1.91824E+16,"Pro D3 2,500unit capsules (Synergy Biologics Ltd)"
47075,1.9183E+16,"Pro D3 20,000unit capsules (Synergy Biologics Ltd)"
47076,1.91833E+16,"Pro D3 30,000unit capsules (Synergy Biologics Ltd)"
47168,1.91818E+16,Pro D3 400unit capsules (Synergy Biologics Ltd)
46618,1.9366E+16,"Lamberts Vitamin D3 1,000unit tablets (Lamberts Healthcare Ltd)"
46662,1.73183E+16,"Solgar Vitamin D3 1,000unit tablets (Solgar Vitamin and Herb)"
46577,2.65475E+17,Fultium 20 Capsule (Aspire Pharma Ltd)
46387,1.99738E+16,Colecalciferol 800unit capsules
46219,1.76365E+16,"Dekristol 20,000unit capsules (Imported (Germany))"
45767,2.64015E+17,Colecalciferol 10000units/ml oral solution
45774,1.75277E+16,Colecalciferol 400unit capsules
45667,1.73345E+16,"Colecalciferol 1,000unit tablets"
45607,1.18158E+16,"Colecalciferol 10,000units/5ml oral suspension"
45563,1.73129E+16,"Colecalciferol 2,200unit capsules"
44901,1.60732E+16,"Colecalciferol 50,000unit capsules"
43067,1.17886E+16,"Colecalciferol 15,000units/5ml oral solution"
41463,1.61973E+16,"Colecalciferol 20,000unit capsules"
15088,3.96151E+15,AT10 250micrograms/ml oral solution (Intrapharm Laboratories Ltd)
22901,329375003,Dihydrotachysterol 250micrograms/ml oral solution sugar free
24827,9.8445E+16,Dihydrptachysterol 0.2mg tablets
15087,3.0545E+16,Tachyrol 0.2mg Tablet (Solvay Healthcare)
55030,1.22957E+16,"Ergocalciferol 20,000units/5ml oral solution"
55016,2.16179E+16,"Ergoral D2 10,000unit tablets (Cubic Pharmaceuticals Ltd)"
54589,2.12582E+16,"Steriferol 3,000units/ml oral solution (Sterling Pharmaceuticals Ltd)"
54299,2.16357E+16,Ergocalciferol 125microgram tablets
54244,2.16692E+16,"Ergoral D2 50,000unit capsules (Cubic Pharmaceuticals Ltd)"
51740,1.22951E+16,"Ergocalciferol 100,000units/5ml oral solution"
48283,1.79952E+16,Ergocalciferol 12.5microgram tablets
50599,8.79401E+15,"Ergocalciferol 15,000units/5ml oral solution"
52250,8.79401E+15,"Ergocalciferol 15,000units/5ml oral solution"
49270,2.04784E+16,"Ergocalciferol 3,000units/ml oral solution"
50379,2.01782E+16,"Ergocalciferol 300,000units/1ml solution for injection ampoules (Special Order)"
49144,374868006,"Ergocalciferol 50,000unit capsules"
49174,8.48901E+15,"Ergocalciferol 50,000units/5ml oral suspension"
52994,8.50821E+15,"Ergocalciferol 7,500units/5ml oral suspension"
51898,2.10372E+16,Ergo-D2 1.25mg capsules (Ennogen Healthcare Ltd)
50441,1.79875E+16,HealthAid Vitamin D 500unit tablets (HealthAid Ltd)
47442,1.98863E+16,"Steriferol 3,000units/ml oral solution (Sterling Pharmaceuticals Ltd)"
47329,1.98995E+16,"Ergocalciferol 20,000units/ml oral solution sugar free"
41872,374509009,Ergocalciferol 1.25mg capsules
6957,3.5565E+16,"Calciferol 300,000 units/ml BP solution"
26008,7.0235E+16,Calciferol BP 3000units/ml solution
15262,8.48781E+15,"Ergocalciferol 1,000units/5ml oral suspension"
3023,3.63001E+15,Ergocalciferol 1.25mg tablets
32307,3.61341E+15,Ergocalciferol 1.25mg tablets (Focus Pharmaceuticals Ltd)
28240,8.6305E+16,"Ergocalciferol 10,000 units (250microgram) Tablet (Celltech Pharma Europe Ltd)"
4435,3.63011E+15,Ergocalciferol 250microgram tablets
31903,3.61131E+15,Ergocalciferol 250microgram tablets (Focus Pharmaceuticals Ltd)
16117,1.98996E+16,"Ergocalciferol 3,000units/ml oral solution sugar free"
27455,7.555E+15,"Ergocalciferol 300,000 unit/ml Injection (UCB Pharma Ltd)"
35529,3.63021E+15,"Ergocalciferol 300,000units/1ml solution for injection ampoules"
37539,3.60531E+15,"Ergocalciferol 300,000units/1ml solution for injection ampoules (RPH Pharmaceuticals AB)"
32458,8.6315E+16,Ergocalciferol 50000 unit (1.25mg) Tablet (Celltech Pharma Europe Ltd)
36087,3.63031E+15,"Ergocalciferol 600,000units/2ml solution for injection ampoules"
37689,3.60681E+15,"Ergocalciferol 600,000units/2ml solution for injection ampoules (Focus Pharmaceuticals Ltd)"
37706,2.46445E+17,Ergocalciferol oral liquid
38475,1.92695E+17,Vitamins additive to infusion solution adult prepartion
28437,1.92705E+17,Vitamins additive to infusion solution infant preparation
20033,1.92435E+17,Vitlipid n Infusion additive (Fresenius Kabi Ltd)
42420,1.34656E+16,Zemplar 2microgram capsules (AbbVie Ltd)
39857,419367007,Paricalcitol 1microgram capsules
39292,1.34653E+16,Zemplar 1microgram capsules (AbbVie Ltd)
38325,419681000,Paricalcitol 2microgram capsules
38011,418927005,Paricalcitol 4microgram capsules
69183,2.16145E+16,Ergoral D2 500unit tablets (Cubic Pharmaceuticals Ltd)
77091,1.22967E+16,Ergocalciferol 400units/5ml oral solution
62757,8.48871E+15,"Ergocalciferol 3,000units/5ml oral suspension"
57304,3.60561E+15,"Ergocalciferol 300,000units/1ml solution for injection ampoules (Alliance Healthcare (Distribution) Ltd)"
73774,8.48921E+15,Ergocalciferol 600units/5ml oral suspension
56540,1.98995E+16,"Ergocalciferol 20,000units/ml oral solution sugar free"
63700,8.48811E+15,"Ergocalciferol 10,000units/5ml oral suspension"
55978,8.48881E+15,"Ergocalciferol 30,000units/5ml oral suspension"
61098,2.13002E+16,"Eciferol D2 50,000unit capsules (Rhodes Pharma Ltd)"
61569,1.98866E+16,"Steriferol 20,000units/ml oral solution (Sterling Pharmaceuticals Ltd)"
75487,2.23428E+16,"Ergocalciferol 1,500units/ml oral solution sugar free"
62604,2.7373E+16,"D-Forte 50,000unit capsules (Go-Kyo Science Ltd)"
57377,1.22958E+16,"Ergocalciferol 20,000units/5ml oral suspension"
62146,2.24032E+16,"Ergocalciferol 1,000units/5ml oral solution"
68583,2.87782E+16,Ergo-D2 12.5microgram tablets (Ennogen Healthcare Ltd)
75869,2.3467E+16,"Ergocalciferol 10,000units/5ml oral solution"
76598,7.575E+15,Ergocalciferol 250microgram Tablet (UCB Pharma Ltd)
64015,2.34672E+16,"Ergocalciferol 6,000units/5ml oral solution"
61464,2.12528E+16,"Eciferol D2 3,000units/ml liquid (Rhodes Pharma Ltd)"
61250,8.48911E+15,"Ergocalciferol 6,000units/5ml oral suspension"
58433,2.16174E+16,"Ergoral D2 5,000unit tablets (Cubic Pharmaceuticals Ltd)"
60031,2.33444E+16,"Ergocalciferol 600,000units/1.5ml solution for injection ampoules"
57384,3.60511E+15,"Ergocalciferol 300,000units/1ml solution for injection ampoules (A A H Pharmaceuticals Ltd)"
77088,1.22953E+16,Ergocalciferol 120units/5ml oral solution
